   Player_Details,Weight,Age,Salary
Austin Rivers Los Angeles Clippers Duke PG,200,23,3110796
C.J. Wilcox Los Angeles Clippers Washington SG,195,25,1159680
Brandon Bass Los Angeles Lakers LSU PF,250,31,3000000
Tarik Black Los Angeles Lakers Kansas C,250,24,845059
Anthony Brown Los Angeles Lakers Stanford SF,210,23,700000
Kobe Bryant Los Angeles Lakers  SF,212,37,25000000
Jordan Clarkson Los Angeles Lakers Missouri PG,194,24,845059
Roy Hibbert Los Angeles Lakers Georgetown C,270,29,15592217
Marcelo Huertas Los Angeles Lakers  PG,200,33,525093
Ryan Kelly Los Angeles Lakers Duke PF,230,25,1724250
Larry Nance Jr. Los Angeles Lakers Wyoming PF,230,23,1155600
Julius Randle Los Angeles Lakers Kentucky PF,250,21,3132240
D'Angelo Russell Los Angeles Lakers Ohio State PG,195,20,5103120
Robert Sacre Los Angeles Lakers Gonzaga C,270,27,981348
Louis Williams Los Angeles Lakers  SG,175,29,7000000
Metta World Peace Los Angeles Lakers St. John's SF,260,36,947276
Nick Young Los Angeles Lakers USC SF,210,31,5219169
Eric Bledsoe Phoenix Suns Kentucky PG,190,26,13500000
Devin Booker Phoenix Suns Kentucky SG,206,19,2127840
Chase Budinger Phoenix Suns Arizona SF,209,28,206192
Tyson Chandler Phoenix Suns  C,240,33,13000000
Archie Goodwin Phoenix Suns Kentucky SG,200,21,1160160
John Jenkins Phoenix Suns Vanderbilt SG,215,25,981348
Brandon Knight Phoenix Suns Kentucky PG,189,24,13500000
Alex Len Phoenix Suns Maryland C,260,22,3807120
Jon Leuer Phoenix Suns Wisconsin PF,228,27,1035000
Phil Pressey Phoenix Suns Missouri PG,175,25,55722
Ronnie Price Phoenix Suns Utah Valley PG,190,32,947276
Mirza Teletovic Phoenix Suns  PF,242,30,5500000
P.J. Tucker Phoenix Suns Texas SF,245,31,5500000
T.J. Warren Phoenix Suns North Carolina State SF,230,22,2041080
Alan Williams Phoenix Suns UC Santa Barbara C,260,23,83397
Quincy Acy Sacramento Kings Baylor SF,240,25,981348
James Anderson Sacramento Kings Oklahoma State SG,213,27,1015421
Marco Belinelli Sacramento Kings  SG,210,30,6060606
Caron Butler Sacramento Kings Connecticut SF,228,36,1449187
Omri Casspi Sacramento Kings  SF,225,27,2836186
Willie Cauley-Stein Sacramento Kings Kentucky C,240,22,3398280
Darren Collison Sacramento Kings UCLA PG,175,28,5013559
DeMarcus Cousins Sacramento Kings Kentucky C,270,25,15851950
Seth Curry Sacramento Kings Duke SG,185,25,947276
Duje Dukan Sacramento Kings Wisconsin PF,220,24,525093
Rudy Gay Sacramento Kings Connecticut SF,230,29,12403101
Kosta Koufos Sacramento Kings Ohio State C,265,27,7700000
Ben McLemore Sacramento Kings Kansas SG,195,23,3156600
Eric Moreland Sacramento Kings Oregon State PF,238,24,845059
Rajon Rondo Sacramento Kings Kentucky PG,186,30,9500000
Cameron Bairstow Chicago Bulls New Mexico PF,250,25,845059
Aaron Brooks Chicago Bulls Oregon PG,161,31,2250000
Jimmy Butler Chicago Bulls Marquette SG,220,26,16407500
Mike Dunleavy Chicago Bulls Duke SG,230,35,4500000
Cristiano Felicio Chicago Bulls  PF,275,23,525093
Pau Gasol Chicago Bulls  C,250,35,7448760
Taj Gibson Chicago Bulls USC PF,225,30,8500000
Justin Holiday Chicago Bulls Washington SG,185,27,947276
Doug McDermott Chicago Bulls Creighton SF,225,24,2380440
